0,1
0,4
0,23
0,27
0,35
0,51
0,57
0,58
0,62
0,65
0,74
0,81
0,82
0,88
0,89
0,90
0,102
0,113
0,117
0,118
0,133
1,3
1,18
1,38
1,44
1,45
1,48
1,53
1,66
1,72
1,108
1,121
1,125
1,129
1,88
1,89
1,113
1,118
2,35
2,65
2,36
2,43
2,61
2,63
2,70
2,78
2,93
2,104
2,121
2,139
3,65
3,73
3,79
3,139
4,12
4,18
4,32
4,36
4,49
4,78
4,99
4,129
4,130
4,88
4,89
4,90
4,102
5,23
5,9
5,72
5,105
6,102
6,12
6,22
6,40
6,41
6,46
6,116
6,119
6,127
6,141
7,118
7,54
7,73
8,65
8,113
8,26
8,54
8,67
8,76
8,85
8,132
9,117
9,118
9,16
9,29
9,59
9,72
9,103
9,105
9,124
10,51
10,74
10,113
10,48
10,73
10,142
11,88
11,15
11,18
11,22
11,32
11,42
11,47
11,92
11,97
11,124
11,141
12,29
12,48
12,94
12,95
12,106
12,137
13,88
13,33
13,68
13,75
13,94
13,95
14,62
14,90
14,28
14,76
14,78
14,80
14,85
14,139
15,23
15,133
15,16
15,37
15,46
15,47
15,87
15,97
15,109
15,112
15,125
15,136
15,138
15,142
16,23
16,102
16,30
16,77
16,109
16,120
16,125
17,81
17,60
17,79
17,135
18,35
18,62
18,74
18,28
18,42
18,44
18,48
18,80
18,94
18,97
18,122
18,129
18,130
19,89
19,67
19,93
19,106
19,111
20,62
20,30
20,61
20,78
20,86
20,98
20,100
21,57
21,50
21,86
21,96
21,98
22,81
22,40
22,41
22,44
22,56
22,63
22,83
22,94
22,112
22,127
22,130
22,131
23,37
23,55
23,59
23,69
23,91
23,92
23,96
23,101
23,105
23,124
23,126
23,127
23,141
23,142
23,74
23,89
23,117
24,35
24,36
24,72
24,80
24,92
24,94
24,97
24,98
24,103
24,120
24,124
24,126
24,130
24,131
24,137
25,58
25,133
25,38
25,59
25,92
25,116
25,127
26,27
26,35
26,51
26,61
26,76
26,85
26,104
26,115
27,28
27,31
27,44
27,49
27,64
27,72
27,84
27,85
27,86
27,103
27,111
27,121
27,51
27,90
28,35
28,82
28,90
28,118
28,32
28,38
28,42
28,78
28,85
28,121
28,130
29,57
29,89
29,90
29,113
29,32
29,46
29,54
29,60
29,63
29,72
29,78
29,106
29,122
29,129
30,58
30,133
30,59
30,91
30,141
30,142
31,52
31,84
32,57
32,89
32,133
32,36
32,38
32,48
32,61
32,92
32,129
32,130
32,132
33,81
33,118
33,39
34,74
34,102
34,41
34,46
34,55
34,77
34,99
34,110
35,36
35,42
35,49
35,52
35,76
35,80
35,85
35,121
35,126
35,62
36,57
36,65
36,88
36,89
36,90
36,78
36,80
36,83
36,97
36,101
36,119
36,122
36,129
36,130
37,38
37,55
37,59
37,72
37,87
37,92
37,123
37,131
37,142
38,102
38,117
38,47
38,55
38,71
38,80
38,92
38,97
38,99
38,116
38,124
38,125
38,142
39,81
39,44
39,60
39,75
39,79
40,102
40,41
40,56
40,63
40,79
40,114
40,129
40,137
41,58
41,74
41,68
41,112
42,90
42,78
42,111
42,121
42,128
42,129
42,132
43,51
43,53
43,76
43,78
43,85
43,93
43,104
43,111
43,130
43,132
44,48
44,54
44,56
44,63
44,68
44,111
44,121
44,129
45,51
45,89
45,60
45,75
45,107
45,135
46,102
46,110
46,119
46,123
46,136
47,133
47,71
47,78
47,87
47,92
47,97
47,105
47,110
47,123
47,125
47,131
47,138
47,140
47,142
48,118
48,54
48,61
48,76
48,93
48,101
48,108
48,139
49,62
49,53
49,63
49,104
49,106
49,115
49,121
49,130
50,117
50,69
50,120
50,124
51,63
51,92
51,95
51,97
51,121
51,125
51,129
51,57
51,74
51,82
51,89
52,89
52,76
52,85
52,121
53,82
53,89
53,56
53,63
53,66
53,94
53,107
53,129
54,89
54,63
54,70
54,73
54,93
55,56
55,59
55,72
55,91
55,96
55,125
55,140
56,81
56,94
56,101
56,110
56,123
56,129
57,67
57,70
57,78
57,83
57,93
57,127
57,129
57,130
57,62
57,65
57,88
57,89
58,94
58,99
58,112
58,125
59,117
59,133
59,71
59,72
59,105
59,138
60,81
60,68
60,73
60,106
60,107
60,108
61,90
61,67
61,76
61,104
62,100
62,89
62,90
63,74
63,89
63,113
63,118
63,72
63,78
63,97
64,85
64,97
64,103
64,124
64,134
65,122
65,128
65,130
65,74
65,82
65,90
65,113
66,75
66,114
66,127
67,132
68,81
68,95
68,108
68,137
69,96
70,76
71,117
71,72
71,78
71,92
71,97
71,120
71,136
71,142
72,89
72,117
72,118
72,78
72,97
72,132
72,140
73,89
73,75
74,78
74,83
74,92
74,88
74,113
74,133
75,81
75,79
75,107
76,93
76,111
76,130
77,102
77,99
77,116
77,119
77,141
78,88
78,90
78,104
78,132
79,81
79,90
79,108
80,117
80,133
80,97
80,111
81,135
81,137
81,88
82,130
82,88
82,113
82,117
82,118
83,127
83,137
85,100
87,102
87,105
87,136
